"","SampID","totalCmeasured_nM_perID","totalNmeasured_nM_perID"
"1","Day1and2Poo",7239.73345144711,3006.24341013809
"2","MesoScopeQC",3461.27449591598,1263.22987614719
"3","MS10C215m",2217.50215655674,800.015174476214
"4","MS10C2175m",791.851782690023,345.206952605162
"5","MS10C2DCM",2273.14598224472,1042.89945640481
"6","MS11C215m",2501.24692991873,985.014719148451
"7","MS11C2175m",648.291769800011,250.64182695544
"8","MS11C2DCM",1857.05691395094,776.300315742367
"9","MS12C115m",2180.7588467639,710.099773660329
"10","MS12C1175m",613.277409316083,255.2644723812
"11","MS12C1DCM",2711.3374396094,1211.63094721487
"12","MS13C2175m",835.52326882577,364.713891671816
"13","MS13C2DCM",2062.85840282877,949.042961330745
"14","MS13C315m",1695.2726473309,562.686258884751
"15","MS14C215m",2612.05029644544,880.733001331974
"16","MS14C2175m",964.689031604849,437.5866508968
"17","MS14C2DCM",2388.80353084355,984.254679629534
"18","MS4C115m",1984.25384140231,744.952502602719
"19","MS4C1175m",708.971007559441,310.715811442644
"20","MS4C1DCM",1799.37749459737,901.432027632811
"21","MS5C115m",1902.91398981836,629.070244562815
"22","MS5C1175m",1267.21581910704,683.8301797862
"23","MS5C1DCM",1947.6849805581,806.622578922222
"24","MS6C315m",2378.85034399471,777.84942746852
"25","MS6C3175m",1156.92446978734,567.01488467975
"26","MS6C3DCM",1810.32358581269,815.038372115153
"27","MS7C115m",2353.52781889456,828.378535537486
"28","MS7C1175m",984.61497357702,431.12506634252
"29","MS7C1DCM",2105.38344769898,1013.52543864248
"30","MS8C115m",2006.02868165575,708.003461614231
"31","MS8C1175m",1071.45479887438,498.683753796823
"32","MS8C1DCM",2095.70285836832,1018.3534390086
"33","MS9C215m",2046.06325044857,675.060520668309
"34","MS9C2175m",782.550431012717,317.298498369451
"35","MS9C2DCM",2499.60212477679,1007.50441970445
